Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
2019-03-21T00:00:00.000,ACUR,4D,,MAR,,,10300 S. Doty,(773) 568-8495,2873671
2019-03-21T00:00:00.000,ACUR,4T,,BLK,AZ38933,IL,701 N. Sacramento,(773) 265-7605,6954475
2019-03-21T00:00:00.000,ACUR,LL,,SIL,E695295,IL,400 E. Lower Wacker,(312) 744-7550,6954505
2019-03-21T00:00:00.000,AUDI,LL,,BLK,AW30759,IL,701 N. Sacramento,(773) 265-7605,6954521
2019-03-21T00:00:00.000,AUDI,SW,,DBL,TAIRRE1,IL,701 N. Sacramento,(773) 265-7605,6954552
2019-03-21T00:00:00.000,BMW,LL,,BLK,AT56204,IL,701 N. Sacramento,(773) 265-7605,6954562
2019-03-21T00:00:00.000,BUIC,2D,,WHI,,,701 N. Sacramento,(773) 265-7605,6954535
2019-03-21T00:00:00.000,BUIC,4D,,GRN,BD73021,IL,701 N. Sacramento,(773) 265-7605,6954488
2019-03-21T00:00:00.000,BUIC,4D,REG,SIL,BB84347,IL,400 E. Lower Wacker,(312) 744-7550,0201045
2019-03-21T00:00:00.000,BUIC,4D,,SIL,AQ71209,IL,701 N. Sacramento,(773) 265-7605,6954518
2019-03-21T00:00:00.000,CADI,4T,,BLU,Z41331,IL,10300 S. Doty,(773) 568-8495,2873674
2019-03-21T00:00:00.000,CHEV,4D,,GRN,,,10300 S. Doty,(773) 568-8495,2873665
2019-03-21T00:00:00.000,CHEV,4D,,RED,ZY30926,IL,10300 S. Doty,(773) 568-8495,2873688
2019-03-21T00:00:00.000,CHEV,4D,,GRY,AF86681,IL,10300 S. Doty,(773) 568-8495,2873698
2019-03-21T00:00:00.000,CHEV,4D,,SIL,BB96436,IL,10300 S. Doty,(773) 568-8495,2873667
2019-03-21T00:00:00.000,CHEV,4D,,GRY,Q605904,IL,10300 S. Doty,(773) 568-8495,2873673
2019-03-21T00:00:00.000,CHEV,4D,,BLU,AK55467,IL,701 N. Sacramento,(773) 265-7605,6954500
2019-03-21T00:00:00.000,CHEV,LL,,DBL,ZU11859,IL,701 N. Sacramento,(773) 265-7605,6954481
2019-03-21T00:00:00.000,CHEV,LL,,BLU,S147066,IL,10300 S. Doty,(773) 568-8495,2873697
2019-03-21T00:00:00.000,CHEV,LL,TK,BLK,,,701 N. Sacramento,(773) 265-7605,6954470
2019-03-21T00:00:00.000,CHEV,VN,,RED,00217140,IL,10300 S. Doty,(773) 568-8495,2873695
2019-03-21T00:00:00.000,CHEV,VN,,GLD,AW27879,IL,701 N. Sacramento,(773) 265-7605,6954483
2019-03-21T00:00:00.000,CHRY,4D,,BLK,AU40166,IL,10300 S. Doty,(773) 568-8495,2873664
2019-03-21T00:00:00.000,CHRY,4D,,GRY,AJ52258,IL,701 N. Sacramento,(773) 265-7605,6954485
2019-03-21T00:00:00.000,CHRY,VN,,WHI,L23734,IL,10300 S. Doty,(773) 568-8495,2873686
2019-03-21T00:00:00.000,DODG,4D,,GRY,AQ71724,IL,701 N. Sacramento,(773) 265-7605,6954517
2019-03-21T00:00:00.000,DODG,4T,,WHI,BA54384,IL,701 N. Sacramento,(773) 265-7605,6954501
2019-03-21T00:00:00.000,DODG,LL,,GRY,ZZ30931,IL,701 N. Sacramento,(773) 265-7605,6954498
2019-03-21T00:00:00.000,DODG,VN,,MAR,PVR136,IL,701 N. Sacramento,(773) 265-7605,6954560
2019-03-21T00:00:00.000,DODG,VN,,SIL,637540,IL,701 N. Sacramento,(773) 265-7605,6954502
2019-03-21T00:00:00.000,FORD,2T,,BLK,BA59118,IL,701 N. Sacramento,(773) 265-7605,6954529
2019-03-21T00:00:00.000,FORD,4D,,BLK,6741WS,IL,701 N. Sacramento,(773) 265-7605,6954496
2019-03-21T00:00:00.000,FORD,4D,,BLK,AM56325,IL,701 N. Sacramento,(773) 265-7605,6954486
2019-03-21T00:00:00.000,FORD,4D,,BLK,ADS8842,WA,701 N. Sacramento,(773) 265-7605,6954530
2019-03-21T00:00:00.000,FORD,4D,,BLK,S483440,IL,701 N. Sacramento,(773) 265-7605,6954557
2019-03-21T00:00:00.000,FORD,4D,FOC,WHI,P543419,IL,400 E. Lower Wacker,(312) 744-7550,0201043
2019-03-21T00:00:00.000,FORD,LL,,SIL,AV44854,IL,701 N. Sacramento,(773) 265-7605,6954478
