,Tow Date,Make,Style,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number
1,2019-03-21,ACUR,4T,BLK,AZ38933,IL,701 N. Sacramento,(773) 265-7605,6954475
2,2019-03-21,ACUR,LL,SIL,E695295,IL,400 E. Lower Wacker,(312) 744-7550,6954505
3,2019-03-21,AUDI,LL,BLK,AW30759,IL,701 N. Sacramento,(773) 265-7605,6954521
4,2019-03-21,AUDI,SW,DBL,TAIRRE1,IL,701 N. Sacramento,(773) 265-7605,6954552
5,2019-03-21,BMW,LL,BLK,AT56204,IL,701 N. Sacramento,(773) 265-7605,6954562
7,2019-03-21,BUIC,4D,GRN,BD73021,IL,701 N. Sacramento,(773) 265-7605,6954488
8,2019-03-21,BUIC,4D,SIL,BB84347,IL,400 E. Lower Wacker,(312) 744-7550,201045
9,2019-03-21,BUIC,4D,SIL,AQ71209,IL,701 N. Sacramento,(773) 265-7605,6954518
10,2019-03-21,CADI,4T,BLU,Z41331,IL,10300 S. Doty,(773) 568-8495,2873674
12,2019-03-21,CHEV,4D,RED,ZY30926,IL,10300 S. Doty,(773) 568-8495,2873688
13,2019-03-21,CHEV,4D,GRY,AF86681,IL,10300 S. Doty,(773) 568-8495,2873698
14,2019-03-21,CHEV,4D,SIL,BB96436,IL,10300 S. Doty,(773) 568-8495,2873667
15,2019-03-21,CHEV,4D,GRY,Q605904,IL,10300 S. Doty,(773) 568-8495,2873673
16,2019-03-21,CHEV,4D,BLU,AK55467,IL,701 N. Sacramento,(773) 265-7605,6954500
17,2019-03-21,CHEV,LL,DBL,ZU11859,IL,701 N. Sacramento,(773) 265-7605,6954481
18,2019-03-21,CHEV,LL,BLU,S147066,IL,10300 S. Doty,(773) 568-8495,2873697
20,2019-03-21,CHEV,VN,RED,00217140,IL,10300 S. Doty,(773) 568-8495,2873695
21,2019-03-21,CHEV,VN,GLD,AW27879,IL,701 N. Sacramento,(773) 265-7605,6954483
22,2019-03-21,CHRY,4D,BLK,AU40166,IL,10300 S. Doty,(773) 568-8495,2873664
23,2019-03-21,CHRY,4D,GRY,AJ52258,IL,701 N. Sacramento,(773) 265-7605,6954485
24,2019-03-21,CHRY,VN,WHI,L23734,IL,10300 S. Doty,(773) 568-8495,2873686
25,2019-03-21,DODG,4D,GRY,AQ71724,IL,701 N. Sacramento,(773) 265-7605,6954517
26,2019-03-21,DODG,4T,WHI,BA54384,IL,701 N. Sacramento,(773) 265-7605,6954501
27,2019-03-21,DODG,LL,GRY,ZZ30931,IL,701 N. Sacramento,(773) 265-7605,6954498
28,2019-03-21,DODG,VN,MAR,PVR136,IL,701 N. Sacramento,(773) 265-7605,6954560
29,2019-03-21,DODG,VN,SIL,637540,IL,701 N. Sacramento,(773) 265-7605,6954502
30,2019-03-21,FORD,2T,BLK,BA59118,IL,701 N. Sacramento,(773) 265-7605,6954529
31,2019-03-21,FORD,4D,BLK,6741WS,IL,701 N. Sacramento,(773) 265-7605,6954496
32,2019-03-21,FORD,4D,BLK,AM56325,IL,701 N. Sacramento,(773) 265-7605,6954486
33,2019-03-21,FORD,4D,BLK,ADS8842,WA,701 N. Sacramento,(773) 265-7605,6954530
34,2019-03-21,FORD,4D,BLK,S483440,IL,701 N. Sacramento,(773) 265-7605,6954557
35,2019-03-21,FORD,4D,WHI,P543419,IL,400 E. Lower Wacker,(312) 744-7550,201043
36,2019-03-21,FORD,LL,SIL,AV44854,IL,701 N. Sacramento,(773) 265-7605,6954478
37,2019-03-21,FORD,LL,BLK,,IL,10300 S. Doty,(773) 785-9752,1719056
38,2019-03-21,FORD,LL,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702
39,2019-03-21,FORD,LL,WHI,AV87833,IL,10300 S. Doty,(773) 568-8495,2873702
40,2019-03-21,FORD,LL,GRY,ZU54014,IL,10300 S. Doty,(773) 568-8495,2873690
41,2019-03-21,FORD,LL,BLK,AQ42432,IL,10300 S. Doty,(773) 568-8495,2873670
42,2019-03-21,FORD,LL,SIL,AD63239,IL,701 N. Sacramento,(773) 265-7605,6954515
43,2019-03-21,FORD,LL,WHI,2036064B,IL,10300 S. Doty,(773) 568-8495,2873669
44,2019-03-21,FORD,PK,GRY,89492TB,IL,10300 S. Doty,(773) 568-8495,2873689
45,2019-03-21,FORD,PK,RED,1847928B,IL,10300 S. Doty,(773) 568-8495,2873699
46,2019-03-21,FORD,VN,WHI,2165220B,IL,10300 S. Doty,(773) 568-8495,2873692
47,2019-03-21,FORD,VN,GRY,Q563257,IL,701 N. Sacramento,(773) 265-7605,6954546
48,2019-03-21,GMC,LL,GRY,Q739007,IL,701 N. Sacramento,(773) 265-7605,6954482
49,2019-03-21,GMC,LL,WHI,19545PT,IL,701 N. Sacramento,(773) 265-7605,6954550
50,2019-03-21,GMC,LL,SIL,ZZ74558,IL,701 N. Sacramento,(773) 265-7605,6954508
51,2019-03-21,GMC,LL,WHI,Q798562,IL,10300 S. Doty,(773) 568-8495,2873668
52,2019-03-21,HOND,4D,BLK,E204212,IL,701 N. Sacramento,(773) 265-7605,6954544
53,2019-03-21,HOND,4D,MAR,AQ75392,IL,701 N. Sacramento,(773) 265-7605,6954484
54,2019-03-21,HOND,4D,GRY,909LPI,IN,701 N. Sacramento,(773) 265-7605,6954510
55,2019-03-21,HOND,4D,SIL,WSB98,IL,701 N. Sacramento,(773) 265-7605,6954489
56,2019-03-21,HOND,4D,BGE,953T555,IL,701 N. Sacramento,(773) 265-7605,6954511
57,2019-03-21,HOND,4D,WHI,Z742952,IL,701 N. Sacramento,(773) 265-7605,6954487
58,2019-03-21,HOND,4D,GRN,,IL,701 N. Sacramento,(773) 265-7605,6954516
59,2019-03-21,HOND,4T,WHI,Q835486,IL,701 N. Sacramento,(773) 265-7605,6954538
60,2019-03-21,HOND,HB,BLK,BE56107,IL,10300 S. Doty,(773) 568-8495,2873660
