Tow Date,Make,Style,Color,Plate,State,Towed to Address,Tow Facility Phone,Inventory Number,day_of_week
2019-03-21,ACUR,4T,BLK,AZ38933,IL,701 N. Sacramento,(773) 265-7605,6954475,Thursday
2019-03-21,ACUR,LL,SIL,E695295,IL,400 E. Lower Wacker,(312) 744-7550,6954505,Thursday
2019-03-21,AUDI,LL,BLK,AW30759,IL,701 N. Sacramento,(773) 265-7605,6954521,Thursday
2019-03-21,AUDI,SW,DBL,TAIRRE1,IL,701 N. Sacramento,(773) 265-7605,6954552,Thursday
2019-03-21,BMW,LL,BLK,AT56204,IL,701 N. Sacramento,(773) 265-7605,6954562,Thursday
2019-03-21,BUIC,4D,GRN,BD73021,IL,701 N. Sacramento,(773) 265-7605,6954488,Thursday
2019-03-21,BUIC,4D,SIL,BB84347,IL,400 E. Lower Wacker,(312) 744-7550,201045,Thursday
2019-03-21,BUIC,4D,SIL,AQ71209,IL,701 N. Sacramento,(773) 265-7605,6954518,Thursday
2019-03-21,CADI,4T,BLU,Z41331,IL,10300 S. Doty,(773) 568-8495,2873674,Thursday
2019-03-21,CHEV,4D,RED,ZY30926,IL,10300 S. Doty,(773) 568-8495,2873688,Thursday
2019-03-21,CHEV,4D,GRY,AF86681,IL,10300 S. Doty,(773) 568-8495,2873698,Thursday
2019-03-21,CHEV,4D,SIL,BB96436,IL,10300 S. Doty,(773) 568-8495,2873667,Thursday
2019-03-21,CHEV,4D,GRY,Q605904,IL,10300 S. Doty,(773) 568-8495,2873673,Thursday
2019-03-21,CHEV,4D,BLU,AK55467,IL,701 N. Sacramento,(773) 265-7605,6954500,Thursday
2019-03-21,CHEV,LL,DBL,ZU11859,IL,701 N. Sacramento,(773) 265-7605,6954481,Thursday
2019-03-21,CHEV,LL,BLU,S147066,IL,10300 S. Doty,(773) 568-8495,2873697,Thursday
2019-03-21,CHEV,VN,RED,00217140,IL,10300 S. Doty,(773) 568-8495,2873695,Thursday
2019-03-21,CHEV,VN,GLD,AW27879,IL,701 N. Sacramento,(773) 265-7605,6954483,Thursday
2019-03-21,CHRY,4D,BLK,AU40166,IL,10300 S. Doty,(773) 568-8495,2873664,Thursday
2019-03-21,CHRY,4D,GRY,AJ52258,IL,701 N. Sacramento,(773) 265-7605,6954485,Thursday
2019-03-21,CHRY,VN,WHI,L23734,IL,10300 S. Doty,(773) 568-8495,2873686,Thursday
2019-03-21,DODG,4D,GRY,AQ71724,IL,701 N. Sacramento,(773) 265-7605,6954517,Thursday
2019-03-21,DODG,4T,WHI,BA54384,IL,701 N. Sacramento,(773) 265-7605,6954501,Thursday
2019-03-21,DODG,LL,GRY,ZZ30931,IL,701 N. Sacramento,(773) 265-7605,6954498,Thursday
2019-03-21,DODG,VN,MAR,PVR136,IL,701 N. Sacramento,(773) 265-7605,6954560,Thursday
2019-03-21,DODG,VN,SIL,637540,IL,701 N. Sacramento,(773) 265-7605,6954502,Thursday
2019-03-21,FORD,2T,BLK,BA59118,IL,701 N. Sacramento,(773) 265-7605,6954529,Thursday
2019-03-21,FORD,4D,BLK,6741WS,IL,701 N. Sacramento,(773) 265-7605,6954496,Thursday
